iter	Passed	Remaining
0	143	143799
1	145	72692
2	147	48960
3	148	37099
4	151	30056
5	153	25360
6	154	21970
7	156	19421
8	158	17431
9	160	15902
10	165	14897
11	168	13854
12	170	12915
13	171	12107
14	174	11431
15	176	10824
16	179	10380
17	181	9889
18	182	9444
19	184	9044
20	186	8690
21	187	8345
22	191	8119
23	194	7924
24	196	7674
25	198	7442
26	201	7276
27	203	7059
28	208	6966
29	210	6797
30	212	6638
31	214	6475
32	215	6316
33	217	6169
34	218	6027
35	223	5971
36	225	5860
37	226	5738
38	228	5620
39	229	5505
40	231	5409
41	232	5309
42	234	5220
43	237	5166
44	239	5076
45	240	4989
46	242	4916
47	243	4838
48	245	4767
49	248	4712
50	249	4648
51	251	4580
52	252	4515
53	254	4455
54	255	4396
55	257	4337
56	258	4278
57	260	4233
58	262	4187
59	264	4140
60	265	4086
61	266	4035
62	268	3986
63	269	3937
64	270	3897
65	272	3855
66	273	3812
67	276	3784
68	279	3769
69	280	3731
70	282	3699
71	284	3669
72	286	3631
73	287	3594
74	288	3559
75	293	3562
76	294	3534
77	296	3504
78	298	3475
79	299	3447
80	301	3420
81	304	3407
82	308	3405
83	310	3382
84	312	3363
85	314	3339
86	316	3316
87	317	3289
88	319	3265
89	321	3251
90	324	3236
91	325	3211
92	326	3187
93	328	3163
94	329	3139
95	330	3115
96	332	3093
97	333	3069
98	336	3058
99	338	3043
100	339	3025
101	341	3004
102	342	2982
103	343	2961
104	345	2941
105	346	2921
106	347	2903
107	349	2884
108	351	2877
109	353	2862
110	355	2844
111	356	2829
112	358	2814
113	360	2799
114	361	2785
115	363	2768
116	364	2749
117	369	2758
118	370	2745
119	372	2730
120	374	2717
121	376	2707
122	377	2691
123	380	2685
124	382	2679
125	384	2668
126	385	2651
127	386	2635
128	388	2620
129	389	2605
130	390	2591
131	391	2577
132	393	2565
133	395	2554
134	397	2546
135	399	2535
136	400	2524
137	402	2513
138	403	2501
139	404	2487
140	406	2474
141	406	2459
142	408	2448
143	412	2449
144	413	2439
145	415	2427
146	416	2415
147	417	2403
148	418	2391
149	419	2379
150	421	2369
151	423	2360
152	425	2355
153	427	2347
154	428	2336
155	430	2326
156	431	2317
157	432	2306
158	434	2295
159	435	2285
160	436	2273
161	437	2263
162	438	2253
163	441	2252
164	443	2245
165	445	2236
166	446	2226
167	447	2216
168	448	2207
169	450	2200
170	452	2192
171	453	2182
172	455	2176
173	457	2172
174	459	2165
175	460	2156
176	461	2147
177	463	2139
178	464	2130
179	465	2122
180	467	2114
181	468	2105
182	472	2109
183	474	2103
184	475	2095
185	477	2089
186	479	2083
187	480	2075
188	482	2069
189	485	2068
190	487	2063
191	488	2056
192	489	2048
193	491	2043
194	493	2037
195	495	2031
196	496	2023
197	499	2021
198	501	2016
199	502	2011
200	504	2004
201	506	1999
202	507	1992
203	509	1986
204	510	1980
205	512	1974
206	514	1969
207	516	1966
208	518	1960
209	519	1954
210	520	1947
211	522	1940
212	523	1934
213	524	1927
214	526	1921
215	527	1915
216	529	1911
217	531	1906
218	534	1904
219	537	1905
220	539	1900
221	540	1894
222	542	1889
223	547	1896
224	549	1891
225	550	1886
226	552	1881
227	553	1875
228	555	1869
229	556	1863
230	557	1856
231	561	1858
232	564	1856
233	565	1851
234	567	1846
235	569	1844
236	571	1839
237	572	1833
238	580	1847
239	581	1842
240	583	1837
241	584	1832
242	586	1826
243	587	1820
244	588	1814
245	594	1821
